stations,n,kim,hub,sch,ley,logbox,l.kim,l.hub,l.sch,l.ley,l.logbox,u.kim,u.hub,u.sch,u.ley,u.logbox
ASN00055023,28511,454.6667,472.3333,248.3333,251.6667,0,-5.6867,-5.8836,-6.3288,-6.2007,-13.5734,5.5676,5.3066,6.1855,6.297,13.6159
ASN00056017,44026.3333,690.6667,695,348.3333,348,0.6667,-5.104,-5.075,-5.6752,-5.7013,-12.2355,5.1452,5.1627,5.7215,5.6975,12.243
ASN00063004,31263,506,531.6667,273.3333,277,0,-5.4926,-5.2571,-6.1038,-6.1778,-13.182,5.5592,5.7407,6.1853,6.1112,13.1487
ASN00065016,42713.6667,873,874.3333,493.3333,491,0,-6.181,-6.0345,-6.8687,-6.8799,-16.3475,6.1207,6.2333,6.8102,6.8032,16.2749
ASN00066062,58394.3333,1880.6667,1862,1247.6667,1362,0,-4.4055,-3.8707,-4.8829,-5.042,-15.0652,4.4336,4.9081,4.9457,4.7598,14.8605
ASN00074128,48531,890,938,461.6667,518.6667,0,-6.7979,-6.1346,-7.544,-7.7752,-20.4632,6.9804,7.541,7.7769,7.5075,20.3081
ASN00078031,31276.6667,832.3333,789.6667,502,558.3333,0,-6.8333,-5.9004,-7.5744,-7.8109,-24.5046,6.8466,7.707,7.637,7.3825,24.1866
ASN00086071,58240.6667,1545.3333,1382.6667,952.6667,1219.6667,0,-6.0014,-4.8981,-6.6429,-7.0142,-24.544,6.2174,7.3866,6.9439,6.4712,24.1908
ASN00090015,54925,2910,2877.3333,2162.6667,2522.3333,0,-4.5018,-3.553,-4.9715,-5.255,-23.4499,4.499,5.5992,5.037,4.6411,22.9888
ASN00091057,38246,237,273,92.6667,94.3333,0,-4.1111,-4.2838,-4.5751,-4.4441,-8.8976,3.949,3.7219,4.3872,4.5128,8.9086
ASN00094029,46620,876.3333,840.6667,530.6667,616,0,-5.6679,-4.9766,-6.2843,-6.5024,-17.1992,5.7806,6.3961,6.4459,6.1786,16.9846
AU000005010,51366.6667,786.3333,811.3333,447,450.3333,0.3333,-6.2053,-6.3854,-6.9051,-6.8006,-14.1596,6.1033,5.8611,6.7816,6.8905,14.2015
AU000005901,58989.6667,770.6667,795,401.3333,410.3333,0.3333,-6.5142,-6.6744,-7.2475,-7.1247,-14.6228,6.3809,6.1607,7.0912,7.1973,14.6439
AU000006306,49114,597,600,301.3333,302.3333,0.3333,-7.1621,-7.2537,-7.9673,-7.8969,-15.9772,7.0851,6.953,7.8749,7.9576,16.0035
AU000011801,46378,708.6667,740,379.3333,392,0,-6.483,-6.8098,-7.2169,-7.0419,-16.5473,6.3311,5.9197,7.0317,7.1884,16.6192
AU000015410,46447,878.6667,1004,511.6667,586,0,-7.3314,-8.2577,-8.1748,-7.6756,-23.0452,6.9028,5.9317,7.6529,8.081,23.2421
AU000016402,42621,453,489,221.6667,229.6667,0,-6.0817,-6.346,-6.7694,-6.6027,-13.9739,5.9057,5.5632,6.5601,6.7232,14.0202
BE000006447,61372.3333,815.3333,881.6667,409.3333,427.3333,0,-5.6778,-5.2775,-6.306,-6.5176,-14.8777,5.9433,6.2588,6.6161,6.3846,14.8443
BKM00014652,23188.3333,396.3333,439,218.6667,272.6667,0,-7.726,-8.9079,-8.6192,-8.0342,-24.9361,7.2398,6.0611,8.0221,8.5389,25.193
BKM00014654,43282,675.3333,749.3333,356.3333,357,0,-7.6821,-8.1089,-8.5512,-8.2444,-19.5617,7.3212,6.7833,8.1317,8.4071,19.5936
