"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"gamma",1.72425581132448,178.151911523193,1.5231,6.4798,0.244,0.4641,3.7759,0.4801,6.3136,0.4819,9.4337
"gamma",3.27473856901797,205.581248770305,1.1052,4.8322,0.1687,0.7262,3.0944,0.8086,5.024,0.8362,7.3368
"gamma",2.17906585510708,NA,1.3549,5.7535,0.2129,0.56,3.4858,0.5932,5.7641,0.5995,8.5401
"gamma",1.69251121308357,213.389916808519,1.5373,6.545,0.2432,0.4566,3.8015,0.4715,6.3622,0.4732,9.5128
"gamma",1.08633506519413,NA,1.9189,8.5232,0.3156,0.2886,4.5674,0.2906,7.8158,0.2907,11.8774
"gamma",1.48148683276926,NA,1.6432,7.05,0.2647,0.4036,3.9983,0.4125,6.7353,0.4133,10.1197
"gamma",1.37014756682722,156.377850469202,1.7086,7.3791,0.2776,0.3734,4.1256,0.3798,6.9769,0.3802,10.5126
"gamma",2.38377328535877,NA,1.2954,5.517,0.2053,0.5971,3.3886,0.6391,5.5802,0.6483,8.2411
"gamma",5.87114180287386,NA,0.8254,4.0219,0.1248,0.9429,2.7003,1.1252,4.2809,1.2236,6.1294
"gamma",2.0699459084936,NA,1.3901,5.8986,0.2192,0.5388,3.5446,0.5675,5.8756,0.5725,8.7213
"gamma",53.052101375195,NA,0.2746,3.1131,0.0418,1.4438,2.0241,1.9625,3.0167,2.424,4.0854
"gamma",1.39073560028523,NA,1.6959,7.3143,0.2738,0.3791,4.1006,0.3859,6.9294,0.3864,10.4353
"gamma",1.0326333451027,NA,1.9681,8.8104,0.3278,0.2713,4.6789,0.2728,8.0278,0.2728,12.2223
"gamma",1.17711954303493,NA,1.8434,8.0972,0.3019,0.317,4.4027,0.32,7.5029,0.3202,11.3682
"inverse gamma",9.65954290712066,-54.2121294134297,1.6623,8.9376,0.1872,0.844,4.3639,1.0426,8.9199,1.1885,17.6672
"inverse gamma",9.75957346669212,-36.5143902131822,1.6484,8.8252,0.1862,0.8469,4.3389,1.0467,8.8434,1.1936,17.4498
"inverse gamma",16.2381241421839,NA,1.1401,5.5995,0.1446,0.9841,3.4213,1.2457,6.2341,1.4484,10.664
"inverse gamma",11.936132034719,12.1202251575328,1.411,7.1186,0.1657,0.9025,3.9105,1.1263,7.5753,1.2944,13.9966
"inverse gamma",13.0963774516364,NA,1.3197,6.5593,0.1606,0.9275,3.745,1.1626,7.1089,1.3409,12.7998
"inverse gamma",12.1372453108281,NA,1.3938,7.0095,0.1681,0.907,3.8794,1.1328,7.4866,1.3028,13.7658
"inverse gamma",11.6366719530085,-43.4190869069658,1.4377,7.2923,0.1709,0.8955,3.959,1.1163,7.7145,1.2817,14.3616
"inverse gamma",16.0076350971428,-48.0941157788504,1.1509,5.6521,0.1471,0.9804,3.4405,1.2402,6.2848,1.4413,10.7838
"inverse gamma",32.2381560441202,-98.9422368634027,0.7523,4.0915,0.1061,1.1488,2.7519,1.4955,4.5843,1.7811,7.0393
"inverse gamma",24.2006413051111,NA,0.889,4.5411,0.1203,1.0831,2.9809,1.3943,5.1246,1.6447,8.1668
"inverse gamma",47.3935943870011,-104.231658434495,0.6071,3.7038,0.0873,1.2296,2.5202,1.6226,4.0629,1.9558,6.0079
"inverse gamma",25.3484825795684,NA,0.8649,4.4556,0.116,1.094,2.9398,1.411,5.0258,1.667,7.9562
"inverse gamma",18.001226372621,18.3175040065311,1.0666,5.2569,0.1362,1.0105,3.2903,1.2848,5.8946,1.4996,9.8743
"inverse gamma",10.9257830956297,-57.0787969206925,1.5078,7.7689,0.177,0.8782,4.0859,1.0914,8.0838,1.2501,15.3469
"inverse gamma",11.0696138439141,11.2682945434004,1.4928,7.6642,0.1783,0.8818,4.0588,1.0966,8.0042,1.2566,15.1325
"inverse gamma",26.8508861351926,NA,0.836,4.3569,0.1112,1.1074,2.8911,1.4316,4.9098,1.6947,7.7114
"inverse gamma",11.423385183074,-33.2567060636822,1.4577,7.4251,0.172,0.8905,3.9952,1.109,7.8192,1.2724,14.6385
"inverse gamma",13.18008752428,14.087104415521,1.3138,6.5248,0.1624,0.9292,3.7343,1.1651,7.0791,1.3441,12.7246
"inverse gamma",15.5600674915453,16.1328094563447,1.1727,5.7604,0.1489,0.9731,3.4797,1.2293,6.3882,1.4271,11.0298
"inverse gamma",12.7166315429681,-38.3100743982941,1.3476,6.7251,0.1641,0.9196,3.7956,1.1511,7.2501,1.3262,13.1579
"inverse gamma",16.4207125629159,17.3407855846826,1.1318,5.5593,0.1438,0.987,3.4064,1.2499,6.1951,1.454,10.5721
"inverse gamma",29.3449978961807,37.0162287652725,0.794,4.2196,0.1077,1.1278,2.8207,1.4629,4.744,1.7369,7.3664
"inverse gamma",25.9473017839128,32.3257174969651,0.853,4.4146,0.1148,1.0995,2.9197,1.4194,4.9779,1.6783,7.8548
"inverse gamma",31.5059250776051,39.6783294275519,0.7622,4.1213,0.1043,1.1437,2.7682,1.4876,4.622,1.7704,7.116
"inverse gamma",9.99213802813925,-56.189031257201,1.6173,8.5794,0.1859,0.8535,4.2832,1.056,8.6734,1.2054,16.9703
