"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"pearson IV",3.36993613020866,-0.346659804306226,0.2059,6.5487,0.0151,2.8098,3.1862,6.1767,7.2005,14.7334,17.5095
"pearson IV",3.36030482516042,-0.35116402783338,0.2104,6.5921,0.0167,2.8124,3.1963,6.1919,7.2378,14.8043,17.646
"pearson IV",3.34330080773565,-0.332063448981848,0.202,6.655,0.0137,2.8316,3.1992,6.259,7.2633,15.0406,17.7793
"pearson IV",3.33274940735311,-0.326345769927138,0.2005,6.699,0.0138,2.8403,3.2045,6.2924,7.2887,15.1656,17.8891
"pearson IV",3.32354154708446,-0.35115827162005,0.2174,6.7568,0.014,2.8317,3.2261,6.2769,7.3575,15.1534,18.1133
"pearson IV",3.31293143756455,-0.34227129806322,0.214,6.8013,0.0163,2.8423,3.2298,6.3156,7.3791,15.2946,18.2146
"pearson IV",3.30567685609916,-0.349730436381651,0.2201,6.8414,0.017,2.8421,3.2402,6.3217,7.4154,15.3357,18.3435
"pearson IV",3.29052532998496,-0.316414916406851,0.2021,6.8949,0.015,2.8692,3.2336,6.4103,7.414,15.6318,18.4016
"pearson IV",3.28474917483632,-0.349326575988671,0.2242,6.9463,0.0166,2.8538,3.2578,6.3735,7.487,15.55,18.6268
"pearson IV",3.2736283914221,-0.35398812492704,0.2295,7.0079,0.0153,2.8574,3.2701,6.3938,7.5337,15.6453,18.803
"pearson IV",3.26790818587528,-0.372977601016406,0.2431,7.0531,0.0179,2.8497,3.2864,6.3782,7.5852,15.622,18.9702
"pearson IV",3.25920514595974,-0.370771146049723,0.2437,7.0992,0.0178,2.8559,3.2928,6.4035,7.6131,15.7234,19.0856
"pearson IV",3.24927836175985,-0.367558360066963,0.2439,7.1526,0.0179,2.8633,3.2998,6.4338,7.6441,15.8437,19.2158
"pearson IV",3.23922224179958,-0.365603718378581,0.2449,7.2092,0.0162,2.8702,3.3078,6.4628,7.6781,15.9617,19.3557
"pearson IV",3.23055801524431,-0.360654400721658,0.2437,7.2564,0.0164,2.8781,3.3127,6.4934,7.7022,16.0798,19.4625
"pearson IV",3.22046490453556,-0.34031227331236,0.2323,7.3011,0.0179,2.8961,3.3095,6.5537,7.7056,16.2872,19.5186
"pearson IV",3.21013350670785,-0.322345151275163,0.2223,7.3509,0.0167,2.913,3.3079,6.6117,7.7138,16.4904,19.5899
"pearson IV",3.20449451181293,-0.330910224363208,0.2295,7.3934,0.0178,2.9113,3.3184,6.6128,7.7502,16.5159,19.719
"pearson IV",3.19989281807095,-0.351321543919621,0.2446,7.4403,0.0192,2.9018,3.3354,6.5911,7.8036,16.4729,19.8914
"pearson IV",3.18701789159328,-0.322413941561477,0.2275,7.5008,0.0172,2.9272,3.3294,6.676,7.8031,16.7647,19.9525
"pearson IV",3.17989778678119,-0.332645980606554,0.2364,7.5579,0.0192,2.9254,3.3427,6.6786,7.8493,16.8013,20.1184
"pearson IV",3.17447137800604,-0.32804216216947,0.2344,7.5914,0.0161,2.9317,3.3449,6.702,7.8627,16.8903,20.1834
"pearson IV",3.16538600064442,-0.315289828310255,0.2274,7.6445,0.0176,2.9453,3.3455,6.7505,7.8762,17.0662,20.2674
"pearson IV",3.16010585577786,-0.337502053723671,0.2447,7.7025,0.0157,2.9349,3.3649,6.727,7.9378,17.0216,20.4696
"pearson IV",3.15220567342266,-0.330839550370583,0.2418,7.7547,0.0184,2.9441,3.3684,6.7618,7.9581,17.1547,20.5682
"pearson IV",3.14562913305312,-0.323410307141487,0.238,7.7974,0.0167,2.953,3.37,6.7944,7.9716,17.2766,20.6411
"pearson IV",3.1398662311323,-0.326300112216966,0.2416,7.8444,0.0185,2.955,3.3776,6.8065,8.0009,17.3364,20.7554
"pearson IV",3.13178494488448,-0.315092738181585,0.2353,7.8972,0.0163,2.9674,3.3783,6.851,8.014,17.5002,20.8358
"pearson IV",3.1261471093744,-0.316492057091556,0.2377,7.9437,0.0158,2.9703,3.3849,6.8657,8.0404,17.5678,20.9421
"pearson IV",3.11888999531418,-0.323396603512112,0.2447,8.0098,0.0165,2.9707,3.3968,6.8755,8.0844,17.6288,21.1081
